epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.476,0.92915,1.6286,1.1123,0.90442,0.79532,0.88017,0.64273,0.95854,1.45231,1.19753,0.000651515,0.000651515,0.000651515
2,879.34,0.98918,0.95187,1.1679,0.05377,0.79532,0.05394,0.03564,0.98576,35.108,1.31833,0.00129208,0.00129208,0.00129208
3,1319.67,1.07021,0.88802,1.21656,0.72216,0.64912,0.69953,0.34999,1.59935,2.68386,2.14063,0.00190625,0.00190625,0.00190625
4,1769.64,1.09606,0.89009,1.22482,0.89038,0.665,0.73051,0.51663,1.2307,2.5011,1.51189,0.0018812,0.0018812,0.0018812
